case_version,period,rooms_available,total_occupied_room_nights,corporate_share,retail_adr,corporate_adr,housekeeping_hours_per_occupied_room,housekeeping_loaded_wage_per_hour,guest_service_cost_per_occupied_room,distribution_fee_rate,fixed_staff_fte,fixed_staff_loaded_cost_per_fte,rent,property_overhead,marketing
v1.0,2026-01-01,100,1705,0.30,150.00,132.00,0.56,22.00,18.50,0.04,5.0,6000.00,78000.00,28000.00,10000.00
v1.0,2026-02-01,100,1624,0.31,152.00,133.00,0.55,22.00,18.70,0.04,5.0,6000.00,78000.00,28100.00,9000.00
v1.0,2026-03-01,100,2015,0.32,158.00,137.00,0.54,22.00,19.00,0.04,5.0,6000.00,78000.00,28500.00,11000.00
v1.0,2026-04-01,100,2100,0.34,164.00,140.00,0.53,22.00,19.20,0.04,5.0,6000.00,78000.00,28600.00,13000.00
v1.0,2026-05-01,100,2294,0.35,172.00,145.00,0.52,22.00,19.50,0.04,5.0,6000.00,78000.00,28900.00,14000.00
v1.0,2026-06-01,100,2340,0.36,180.00,148.00,0.51,22.00,19.80,0.04,5.0,6000.00,78000.00,29200.00,24000.00
v1.0,2026-07-01,100,2604,0.38,188.00,153.00,0.50,22.75,20.00,0.04,5.0,6120.00,78000.00,29800.00,18000.00
v1.0,2026-08-01,100,2542,0.39,185.00,151.00,0.50,22.75,20.00,0.04,5.0,6120.00,78000.00,30000.00,15000.00
v1.0,2026-09-01,100,2190,0.40,175.00,146.00,0.52,22.75,19.80,0.04,5.0,6120.00,78000.00,29400.00,12000.00
v1.0,2026-10-01,100,2201,0.38,170.00,144.00,0.53,22.75,19.50,0.04,5.0,6120.00,78000.00,29100.00,13000.00
v1.0,2026-11-01,100,1830,0.34,158.00,138.00,0.55,22.75,19.00,0.04,5.0,6120.00,78000.00,28700.00,12000.00
v1.0,2026-12-01,100,1829,0.32,162.00,140.00,0.56,22.75,19.20,0.04,5.0,6120.00,78000.00,29000.00,16000.00
