case_version,period,account_code,account_name,amount_usd
v1.0,2025-01-01,4000,Room Revenue,223203.50
v1.0,2025-01-01,5000,Housekeeping Payroll,18834.45
v1.0,2025-01-01,5100,Guest Services,28458.00
v1.0,2025-01-01,5200,Distribution and Payment,8928.14
v1.0,2025-01-01,6000,Fixed Staff Payroll,28750.00
v1.0,2025-01-01,6100,Rent,76000.00
v1.0,2025-01-01,6200,Property Overhead,26800.00
v1.0,2025-01-01,6300,Marketing,9000.00
v1.0,2025-02-01,4000,Room Revenue,221271.00
v1.0,2025-02-01,5000,Housekeeping Payroll,18110.40
v1.0,2025-02-01,5100,Guest Services,28028.00
v1.0,2025-02-01,5200,Distribution and Payment,8850.84
v1.0,2025-02-01,6000,Fixed Staff Payroll,28800.00
v1.0,2025-02-01,6100,Rent,76000.00
v1.0,2025-02-01,6200,Property Overhead,26950.00
v1.0,2025-02-01,6300,Marketing,8500.00
v1.0,2025-03-01,4000,Room Revenue,289432.50
v1.0,2025-03-01,5000,Housekeeping Payroll,22610.86
v1.0,2025-03-01,5100,Guest Services,35935.20
v1.0,2025-03-01,5200,Distribution and Payment,11577.30
v1.0,2025-03-01,6000,Fixed Staff Payroll,28322.00
v1.0,2025-03-01,6100,Rent,76000.00
v1.0,2025-03-01,6200,Property Overhead,27100.00
v1.0,2025-03-01,6300,Marketing,10500.00
v1.0,2025-04-01,4000,Room Revenue,306507.00
v1.0,2025-04-01,5000,Housekeeping Payroll,23436.60
v1.0,2025-04-01,5100,Guest Services,37386.00
v1.0,2025-04-01,5200,Distribution and Payment,12260.28
v1.0,2025-04-01,6000,Fixed Staff Payroll,29000.00
v1.0,2025-04-01,6100,Rent,76000.00
v1.0,2025-04-01,6200,Property Overhead,27250.00
v1.0,2025-04-01,6300,Marketing,12000.00
v1.0,2025-05-01,4000,Room Revenue,359046.00
v1.0,2025-05-01,5000,Housekeeping Payroll,25137.90
v1.0,2025-05-01,5100,Guest Services,42184.80
v1.0,2025-05-01,5200,Distribution and Payment,14361.84
v1.0,2025-05-01,6000,Fixed Staff Payroll,29100.00
v1.0,2025-05-01,6100,Rent,76000.00
v1.0,2025-05-01,6200,Property Overhead,27600.00
v1.0,2025-05-01,6300,Marketing,13500.00
v1.0,2025-06-01,4000,Room Revenue,376115.00
v1.0,2025-06-01,5000,Housekeeping Payroll,25738.92
v1.0,2025-06-01,5100,Guest Services,43548.00
v1.0,2025-06-01,5200,Distribution and Payment,15044.60
v1.0,2025-06-01,6000,Fixed Staff Payroll,29200.00
v1.0,2025-06-01,6100,Rent,76000.00
v1.0,2025-06-01,6200,Property Overhead,27900.00
v1.0,2025-06-01,6300,Marketing,17000.00
v1.0,2025-07-01,4000,Room Revenue,444521.00
v1.0,2025-07-01,5000,Housekeeping Payroll,27595.43
v1.0,2025-07-01,5100,Guest Services,49916.20
v1.0,2025-07-01,5200,Distribution and Payment,17780.84
v1.0,2025-07-01,6000,Fixed Staff Payroll,29886.00
v1.0,2025-07-01,6100,Rent,76000.00
v1.0,2025-07-01,6200,Property Overhead,28400.00
v1.0,2025-07-01,6300,Marketing,19000.00
v1.0,2025-08-01,4000,Room Revenue,421848.00
