case_version,period,housekeeping_hours,housekeeping_payroll,fixed_staff_fte,fixed_staff_payroll
v1.0,2025-01-01,901.17,18834.45,5.0,28750.00
v1.0,2025-02-01,862.40,18110.40,5.0,28800.00
v1.0,2025-03-01,1074.15,22610.86,4.9,28322.00
v1.0,2025-04-01,1105.50,23436.60,5.0,29000.00
v1.0,2025-05-01,1182.96,25137.90,5.0,29100.00
v1.0,2025-06-01,1208.40,25738.92,5.0,29200.00
v1.0,2025-07-01,1286.50,27595.43,5.1,29886.00
v1.0,2025-08-01,1264.80,27193.20,5.1,29988.00
v1.0,2025-09-01,1134.00,24437.70,5.0,29500.00
v1.0,2025-10-01,1138.32,24701.54,5.0,29600.00
v1.0,2025-11-01,957.00,20814.75,5.0,29700.00
v1.0,2025-12-01,971.85,21186.33,5.0,29800.00
v1.0,2026-01-01,945.06,20696.81,5.0,29900.00
v1.0,2026-02-01,882.20,19408.40,5.0,30025.00
v1.0,2026-03-01,1076.32,23786.67,5.0,30075.00
v1.0,2026-04-01,1209.00,28109.25,5.0,30200.00
v1.0,2026-05-01,1283.40,29839.05,5.0,30350.00
v1.0,2026-06-01,1268.40,29490.30,5.0,30250.00
